Ticker,Nombre,Precio,Score,Señal,RSI,SMA20,SMA50,SMA200,ATR,ATR Ratio,Volatilidad Anual,Volumen Actual,Volumen Medio (Mes),Volumen Relativo,Soporte,Resistencia,Stop Loss,Take Profit
JBHT,"J.B. Hunt Transport Services, Inc.",233.41,5,HOLD,63.95,223.46,210.42,165.54,7.31,0.0313,0.4114,1481100,1170057,1.27,221.67,239.57,222.44,239.57
COST,Costco Wholesale Corporation,1010.79,5,HOLD,61.47,988.88,942.53,950.19,19.77,0.0196,0.2195,3931800,2199009,1.79,987.84,1023.97,987.84,1023.97
PFG,"Principal Financial Group, Inc.",95.42,5,HOLD,55.1,94.3,91.97,82.67,2.73,0.0286,0.2894,3749100,1948585,1.92,92.26,98.09,92.26,98.09
PH,Parker-Hannifin Corporation,1009.18,5,HOLD,61.12,990.78,941.53,792.77,21.93,0.0217,0.3125,1065800,713266,1.49,990.09,1031.61,990.09,1031.61
DG,Dollar General Corporation,156.24,5,HOLD,64.51,149.75,145.13,116.3,4.37,0.028,0.382,3443100,2680328,1.28,150.86,159.92,150.86,159.92
CZR,"Caesars Entertainment, Inc.",25.05,5,HOLD,64.93,20.88,22.61,24.79,1.46,0.0581,0.5755,17981800,8356776,2.15,21.18,27.41,22.87,27.41
PLD,"Prologis, Inc.",142.57,5,HOLD,65.07,138.06,132.54,117.69,2.64,0.0185,0.2724,5263800,3331214,1.58,139.97,144.56,139.97,144.56
CVS,CVS Health Corporation,79.9,5,HOLD,57.09,76.84,78.02,72.04,2.45,0.0306,0.3065,14698600,8817142,1.67,75.25,82.23,76.23,82.23
PSX,Phillips 66,154.33,5,HOLD,58.52,153.44,142.33,130.25,4.4,0.0285,0.3617,4251200,2677014,1.59,149.91,157.97,149.91,157.97
RTX,RTX Corporation,202.62,5,HOLD,57.65,199.6,193.64,165.56,4.76,0.0235,0.2734,8972000,6947552,1.29,195.19,207.47,195.47,207.47
TT,Trane Technologies plc,462.32,5,HOLD,61.76,454.82,416.11,421.67,11.58,0.0251,0.2897,1995700,1646190,1.21,451.54,469.96,451.54,469.96
SJM,The J. M. Smucker Company,115.95,5,HOLD,67.15,108.72,103.1,103.73,3.58,0.0309,0.3041,12228500,2606971,4.69,107.83,121.73,110.58,121.73
CAH,"Cardinal Health, Inc.",229.23,5,HOLD,62.14,222.47,213.04,177.0,5.22,0.0228,0.2961,2066800,1700033,1.22,223.35,232.66,223.35,232.66
SPG,"Simon Property Group, Inc.",203.85,5,HOLD,66.57,197.51,190.18,174.65,3.66,0.018,0.258,2113500,1756795,1.2,199.71,206.56,199.71,206.56
BRK.B,Berkshire Hathaway Inc.,504.95,5,HOLD,59.39,498.06,495.48,492.46,7.4,0.0147,0.1809,6352900,4747004,1.34,493.3,511.56,493.85,511.56
BMY,Bristol-Myers Squibb Company,62.37,5,HOLD,69.22,59.84,56.66,48.54,1.3,0.0209,0.2887,20741000,14096685,1.47,61.11,63.15,61.11,63.15
BDX,"Becton, Dickinson and Company",176.48,5,HOLD,57.02,173.49,163.99,148.56,4.72,0.0267,0.3116,4298200,3560385,1.21,171.22,184.54,171.22,184.54
TJX,"The TJX Companies, Inc.",161.66,5,HOLD,65.64,155.14,154.6,140.23,3.24,0.02,0.1852,7097400,5706980,1.24,156.75,164.63,156.8,164.63
ODFL,"Old Dominion Freight Line, Inc.",203.05,5,HOLD,62.31,194.67,178.07,157.24,7.23,0.0356,0.415,3549200,2733290,1.3,193.2,208.38,193.2,208.38
ED,"Consolidated Edison, Inc.",112.52,5,HOLD,65.14,109.45,103.96,99.86,2.29,0.0203,0.1916,5310700,2602585,2.04,110.61,113.72,110.61,113.72
NSC,Norfolk Southern Corporation,314.74,5,HOLD,63.27,309.82,296.77,278.52,5.31,0.0169,0.2263,2128600,1386914,1.53,310.67,318.28,310.67,318.28
MRK,"Merck & Co., Inc.",123.82,5,HOLD,65.03,119.75,112.09,90.68,3.01,0.0243,0.2923,17629500,13864971,1.27,120.17,126.31,120.17,126.31
HIG,"The Hartford Insurance Group, Inc.",140.83,5,HOLD,55.99,140.69,137.25,130.41,2.61,0.0186,0.2107,3944600,1778738,2.22,138.66,143.31,138.66,143.31
IRM,Iron Mountain Incorporated,108.33,5,HOLD,63.17,102.22,93.19,95.0,3.48,0.0321,0.332,3133200,2298585,1.36,105.62,113.14,105.62,113.14
HCA,"HCA Healthcare, Inc.",529.7,5,HOLD,57.6,519.47,492.8,431.32,14.02,0.0265,0.2719,2291500,1154790,1.98,518.82,543.82,518.82,543.82
ITW,Illinois Tool Works Inc.,290.63,5,HOLD,60.97,289.84,268.36,254.74,5.71,0.0197,0.2382,3075000,1781557,1.73,285.45,297.08,285.45,297.08
GWW,"W.W. Grainger, Inc.",1144.73,5,HOLD,57.37,1142.72,1078.1,1017.69,28.88,0.0252,0.2528,485200,366280,1.32,1114.48,1160.26,1114.48,1160.26
L,Loews Corporation,110.02,5,HOLD,59.89,109.17,106.4,98.62,1.9,0.0173,0.1873,1119400,788223,1.42,108.29,111.28,108.29,111.28
GE,GE Aerospace,342.26,5,HOLD,65.27,324.07,316.46,285.41,9.63,0.0281,0.3145,7047000,5439242,1.3,332.49,350.25,332.49,350.25
FRT,Federal Realty Investment Trust,108.77,5,HOLD,65.39,105.67,102.94,96.86,1.93,0.0177,0.2237,1733500,1043823,1.66,106.93,110.27,106.93,110.27
LHX,"L3Harris Technologies, Inc.",364.54,5,HOLD,62.29,348.53,332.4,285.76,10.43,0.0286,0.2393,1962800,1350638,1.45,340.64,377.09,348.89,377.09
LMT,Lockheed Martin Corporation,658.08,5,HOLD,63.84,640.85,575.67,489.55,17.98,0.0273,0.269,2597600,1724957,1.51,638.38,673.44,638.38,673.44
FLS,Flowserve Corporation,88.52,5,HOLD,63.14,86.05,78.53,61.57,2.6,0.0294,0.4824,2145900,1742471,1.23,85.88,91.79,85.88,91.79
MNST,Monster Beverage Corporation,85.3,5,HOLD,63.99,82.68,79.87,69.05,1.61,0.0189,0.2242,13560900,7180042,1.89,83.28,87.35,83.28,87.35
EQT,EQT Corporation,61.42,5,HOLD,65.71,57.64,55.09,54.78,1.95,0.0317,0.3721,12157500,9524685,1.28,58.78,62.92,58.78,62.92
EOG,"EOG Resources, Inc.",124.08,5,HOLD,66.23,117.89,110.31,111.99,3.43,0.0276,0.2972,6899100,5683261,1.21,120.51,126.44,120.51,126.44
MPC,Marathon Petroleum Corporation,198.21,5,HOLD,57.98,195.93,180.97,177.47,6.78,0.0342,0.3457,4760400,2422438,1.97,191.41,203.93,191.41,203.93
TSN,"Tyson Foods, Inc.",64.99,5,HOLD,61.03,63.8,61.02,55.56,1.36,0.021,0.2345,5717200,3096476,1.85,62.53,66.22,62.95,66.22
PSA,Public Storage,307.06,5,HOLD,65.79,293.89,280.92,282.68,6.89,0.0224,0.23,1667000,1246061,1.34,299.82,312.25,299.82,312.25
WELL,Welltower Inc.,207.12,5,HOLD,63.76,201.57,192.23,174.0,4.27,0.0206,0.2136,6204200,3359585,1.85,204.76,210.31,204.76,210.31
AIG,"American International Group, Inc.",80.49,5,HOLD,62.77,77.87,78.65,79.46,1.69,0.021,0.2593,8279500,4155657,1.99,79.09,81.64,79.09,81.64
XRAY,DENTSPLY SIRONA Inc.,14.68,5,HOLD,68.69,12.92,12.34,13.24,0.67,0.0455,0.4813,13495900,5518304,2.45,12.98,15.57,13.68,15.57
XOM,Exxon Mobil Corporation,152.5,5,HOLD,64.79,147.97,133.9,115.82,3.64,0.0239,0.25,30246900,23047923,1.31,148.3,155.18,148.3,155.18
ULTA,"Ulta Beauty, Inc.",684.79,5,HOLD,53.91,681.77,655.2,544.35,18.85,0.0275,0.3754,663000,509595,1.3,664.7,703.71,664.7,703.71
WRB,W. R. Berkley Corporation,71.7,5,HOLD,59.02,70.45,69.52,70.94,1.58,0.022,0.2311,4799500,2150047,2.23,70.31,72.73,70.31,72.73
ALL,The Allstate Corporation,214.52,5,HOLD,61.25,206.76,204.5,202.04,5.27,0.0246,0.2628,2318500,1837333,1.26,207.7,218.43,207.7,218.43
ADM,Archer-Daniels-Midland Company,69.04,5,HOLD,61.63,67.65,63.96,58.11,1.94,0.028,0.2826,5021100,3969366,1.26,66.82,70.33,66.82,70.33
WDC,Western Digital Corporation,279.7,4,HOLD,55.18,278.28,235.41,132.82,20.59,0.0736,0.635,9890800,11675995,0.85,265.85,295.56,265.85,295.56
